sku,count,width,height,depth
12933,80,32.0,18.0,39.0
26760,80,40.0,30.0,53.0
17201,80,68.0,68.0,68.0
8800,80,16.0,15.0,16.0
2475,80,45.0,58.0,30.0
19995,80,44.0,26.0,31.0
17920,80,37.0,6.0,50.0
28577,80,21.0,20.0,43.0
13707,80,8.0,3.0,18.0
22655,79,36.0,5.0,34.0
25356,79,38.0,23.0,52.0
10677,79,30.0,30.0,5.0
20461,79,10.0,66.0,17.0
10924,79,13.0,9.0,29.0
29103,79,10.0,10.0,10.0
3784,79,34.0,12.0,27.0
19857,79,17.0,11.0,28.0
7407,79,36.0,6.0,51.0
12921,79,23.0,8.0,27.0
18911,79,23.0,25.0,40.0
174,79,22.0,6.0,31.0
23744,79,44.0,5.0,28.0
6964,79,47.0,13.0,23.0
30122,78,10.0,10.0,10.0
20119,78,43.0,6.0,26.0
3885,78,36.0,19.0,24.0
9012,78,29.0,31.0,29.0
12522,78,69.0,69.0,10.0
8140,78,16.0,18.0,48.0
24504,78,7.0,17.0,2.0
29701,77,10.0,10.0,10.0
3679,77,27.0,12.0,36.0
236,77,45.0,9.0,17.0
7869,77,29.0,21.0,49.0
22152,77,36.0,19.0,57.0
6115,77,15.0,18.0,28.0
3232,77,22.0,8.0,22.0
27854,77,12.0,4.0,18.0
28423,77,6.0,20.0,10.0
3512,76,27.0,7.0,27.0
16141,76,14.0,18.0,1.0
14756,76,30.0,8.0,7.0
22895,76,21.0,12.0,36.0
24337,76,21.0,5.0,11.0
8296,76,47.0,4.0,23.0
18488,76,11.0,15.0,1.0
15435,76,52.0,8.0,31.0
13663,76,13.0,6.0,20.0
11795,76,15.0,8.0,20.0
25495,76,17.0,23.0,40.0
24327,76,10.0,10.0,10.0
5918,76,25.0,30.0,24.0
6072,76,58.0,69.0,17.0
6259,76,22.0,22.0,20.0
14108,76,40.0,6.0,46.0
29117,75,19.0,7.0,25.0
14464,75,25.0,26.0,31.0
10102,75,39.0,26.0,28.0
7349,75,10.0,10.0,10.0
1817,75,28.0,5.0,20.0
25986,75,18.0,9.0,20.0
23826,74,10.0,10.0,10.0
15728,74,13.0,4.0,8.0
24630,74,10.0,10.0,10.0
17542,74,2.0,17.0,14.0
1447,74,31.0,26.0,38.0
14597,74,34.0,10.0,26.0
25738,74,7.0,18.0,24.0
11492,74,68.0,68.0,68.0
7563,74,28.0,33.0,27.0
21623,74,46.0,7.0,33.0
16147,74,16.0,6.0,8.0
15862,73,37.0,6.0,43.0
28962,73,24.0,30.0,22.0
14868,73,24.0,12.0,32.0
20882,73,19.0,43.0,19.0
30145,73,15.0,31.0,39.0
29156,73,38.0,8.0,38.0
13324,73,5.0,10.0,7.0
14924,73,10.0,10.0,10.0
19767,72,13.0,15.0,19.0
9666,72,21.0,6.0,41.0
10124,72,26.0,14.0,31.0
12379,72,11.0,3.0,19.0
8812,72,26.0,28.0,35.0
13277,72,42.0,2.0,24.0
11729,72,32.0,5.0,32.0
13569,72,12.0,6.0,9.0
14912,72,10.0,10.0,10.0
11882,72,8.0,3.0,19.0
17194,72,14.0,61.0,16.0
27968,71,10.0,10.0,10.0
13831,71,14.0,2.0,8.0
18350,71,34.0,13.0,24.0
15421,71,34.0,6.0,12.0
17581,71,34.0,22.0,38.0
8320,71,16.0,11.0,18.0
14950,71,14.0,7.0,24.0
10749,71,19.0,6.0,9.0
17841,71,66.0,24.0,26.0
2976,71,39.0,59.0,68.0
2999,71,32.0,6.0,37.0
14145,71,11.0,3.0,9.0
9495,71,27.0,17.0,14.0
18251,71,46.0,15.0,15.0
25777,70,20.0,20.0,25.0
30356,70,10.0,10.0,15.0
14016,70,21.0,15.0,11.0
15443,70,8.0,5.0,13.0
20385,70,9.0,5.0,22.0
9597,70,22.0,6.0,22.0
28869,70,28.0,5.0,12.0
8459,70,31.0,25.0,40.0
6444,70,12.0,6.0,16.0
11649,70,14.0,4.0,10.0
9172,70,9.0,33.0,9.0
2695,69,22.0,31.0,33.0
